     ms    dt_ms    fps   upd_ms   netlag    nobj   drw_o   drw_g      drw_t
 001094  0.28328  03498  0.00335  0.00000  000011  000011  000011  000000604
 002094  0.10818  03988  0.00321  0.00000  000011  000011  000011  000000604
 003094  0.19109  07979  0.00279  0.00000  000011  000011  000011  000000604
 004094  0.11112  07995  0.00321  0.00000  000011  000011  000011  000000604
 005094  0.11636  08062  0.00384  0.00000  000011  000011  000011  000000604
 006094  0.11594  08081  0.00237  0.00000  000011  000011  000011  000000604
 007094  0.12788  08046  0.00321  0.00000  000011  000011  000011  000000604
 008094  0.11629  08015  0.00426  0.00000  000011  000011  000011  000000604
 009094  0.11028  08026  0.00433  0.00000  000011  000011  000011  000000604
 010094  0.11028  08037  0.00342  0.00000  000011  000011  000011  000000604
 011094  0.16294  07459  0.03003  0.00000  000086  000086  000086  000001062
 012094  0.11866  07311  0.00531  0.00000  000042  000042  000042  000000806
 013094  0.11824  07329  0.00531  0.00000  000042  000042  000042  000000806
 014094  0.11901  07417  0.00580  0.00000  000042  000042  000042  000000806
 015094  0.16161  07365  0.00510  0.00000  000042  000042  000042  000000806
 016094  0.13074  07421  0.00622  0.00000  000042  000042  000042  000000806
 017094  0.15079  07403  0.00573  0.00000  000042  000042  000042  000000806
 018094  0.14220  07309  0.06104  0.00000  000135  000135  000135  000001486
 019094  0.19143  05529  0.03024  0.00000  000108  000108  000108  000001484
 020094  0.14751  05956  0.02025  0.00000  000091  000091  000091  000001112
 021094  0.14806  06186  0.02521  0.00000  000078  000078  000078  000000994
 022094  0.13228  06647  0.00615  0.00000  000076  000076  000076  000000982
 023094  0.24333  06746  0.01334  0.00000  000075  000075  000075  000000978
 024094  0.17844  06554  0.00817  0.00000  000075  000075  000075  000000976
 025094  0.20275  06580  0.02584  0.00000  000074  000074  000074  000000972
 026094  0.13556  06584  0.00803  0.00000  000074  000074  000074  000000972
 027094  0.15093  06535  0.00712  0.00000  000074  000074  000074  000000972
 028094  0.27580  06781  0.15253  0.00000  000074  000074  000074  000000972
 029094  0.14038  06656  0.01229  0.00000  000074  000074  000074  000000972
 030094  0.23341  05949  0.00950  0.00000  000081  000081  000081  000001086
 031094  0.25618  06191  0.01201  0.00000  000090  000090  000090  000001136
 032094  0.14345  06184  0.00901  0.00000  000087  000087  000087  000001108
 033094  0.23376  05718  0.02158  0.00000  000087  000087  000087  000001122
 034094  0.18934  06061  0.00894  0.00000  000086  000086  000086  000001102
 035094  0.14317  06263  0.00629  0.00000  000086  000086  000086  000001102
 036094  0.19081  06104  0.00824  0.00000  000086  000086  000086  000001102
 037094  0.20114  06166  0.00936  0.00000  000086  000086  000086  000001102
 038094  0.47359  05182  0.02067  0.00000  000124  000124  000124  000001484
 039094  0.47192  05176  0.01096  0.00000  000113  000113  000113  000001294
 040094  0.48351  05885  0.01725  0.00000  000113  000113  000113  000001294
 041094  0.39698  05039  0.05112  0.00000  000146  000146  000146  000001574
 042094  0.19786  05905  0.01488  0.00000  000124  000124  000124  000001302
 043094  0.29382  05698  0.02535  0.00000  000132  000132  000132  000001366
 044094  0.31966  04609  0.05091  0.00000  000210  000210  000210  000002072
 045094  0.16727  04904  0.01585  0.00000  000175  000175  000175  000001740
 046094  0.16070  05265  0.01110  0.00000  000173  000173  000173  000001726
 047094  0.25736  04451  0.02326  0.00000  000170  000170  000170  000001682
 048094  0.22209  05139  0.01732  0.00000  000170  000170  000170  000001682
 049094  0.16392  04796  0.01383  0.00000  000170  000170  000170  000001682
 050094  0.17020  05080  0.01383  0.00000  000170  000170  000170  000001682
 051094  0.20526  04839  0.01997  0.00000  000165  000165  000165  000001580
 052094  0.22859  04755  0.02333  0.00000  000162  000162  000162  000001548
 053094  0.15609  05243  0.00894  0.00000  000159  000159  000159  000001504
 054094  0.15239  05569  0.01124  0.00000  000166  000166  000166  000001514
 055094  0.24619  05581  0.01488  0.00000  000164  000164  000164  000001504
 056094  0.22070  05146  0.00964  0.00000  000162  000162  000162  000001494
 057094  0.14729  05982  0.00901  0.00000  000162  000162  000162  000001508
 058094  0.14953  06050  0.01187  0.00000  000161  000161  000161  000001488
 059094  0.13438  06220  0.00901  0.00000  000161  000161  000161  000001486
 060094  0.22286  06058  0.02633  0.00000  000160  000160  000160  000001482
 061094  0.34599  04544  0.03953  0.00000  000180  000180  000180  000001634
 062094  0.21316  04852  0.02340  0.00000  000172  000172  000172  000001610
 063094  0.16413  04467  0.01138  0.00000  000169  000169  000169  000001564
 064094  0.22712  04231  0.01704  0.00000  000169  000169  000169  000001564
 065094  0.25995  04564  0.02116  0.00000  000178  000178  000178  000001596
 066094  0.21651  04662  0.01774  0.00000  000173  000173  000173  000001574
 067094  0.17607  04554  0.01096  0.00000  000172  000172  000172  000001566
 068094  0.21679  04332  0.01648  0.00000  000171  000171  000171  000001560
 069094  0.16964  04963  0.01341  0.00000  000170  000170  000170  000001556
 070094  0.17300  05161  0.01592  0.00000  000180  000180  000180  000001592
 071094  0.28900  05063  0.06816  0.00000  000182  000182  000182  000001590
 072094  0.23425  04162  0.01711  0.00000  000175  000175  000175  000001544
 073094  0.21749  04848  0.01809  0.00000  000175  000175  000175  000001544
 074094  0.20743  04398  0.01348  0.00000  000175  000175  000175  000001558
 075094  0.21036  05175  0.01683  0.00000  000205  000205  000205  000001798
 076094  0.17209  04598  0.01767  0.00000  000205  000205  000205  000001768
 077094  0.23746  04347  0.02242  0.00000  000205  000205  000205  000001766
 078094  0.15449  04233  0.01180  0.00000  000203  000203  000203  000001742
 079094  0.16008  05062  0.01229  0.00000  000203  000203  000203  000001742
 080094  0.19067  04663  0.02200  0.00000  000201  000201  000201  000001716
 081094  0.16727  04417  0.01299  0.00000  000202  000202  000202  000001722
 082094  0.19563  04577  0.02095  0.00000  000200  000200  000200  000001694
 083094  0.25597  04518  0.03003  0.00000  000198  000198  000198  000001684
 084094  0.16545  04970  0.01243  0.00000  000197  000197  000197  000001678
 085094  0.15791  04860  0.01704  0.00000  000197  000197  000197  000001678
 086094  0.15400  04824  0.01152  0.00000  000197  000197  000197  000001692
 087094  0.23467  04765  0.02200  0.00000  000200  000200  000200  000001724
 088094  0.15121  04900  0.01180  0.00000  000199  000199  000199  000001704
 089094  0.20429  05141  0.01704  0.00000  000205  000205  000205  000001782
 090094  0.21567  04290  0.02200  0.00000  000200  000200  000200  000001682
 091094  0.14883  04993  0.01578  0.00000  000200  000200  000200  000001682
 092094  0.22349  05291  0.01194  0.00000  000201  000201  000201  000001700
 093094  0.18131  05181  0.01138  0.00000  000200  000200  000200  000001694
 094094  0.17956  05013  0.01907  0.00000  000209  000209  000209  000001728
 095094  0.37358  05176  0.01250  0.00000  000202  000202  000202  000001678
 096094  0.52227  05248  0.01250  0.00000  000200  000200  000200  000001652
 097094  0.41185  04438  0.02570  0.00000  000199  000199  000199  000001646
 098094  0.14373  04589  0.01152  0.00000  000198  000198  000198  000001656
 099094  0.21665  05240  0.02389  0.00000  000198  000198  000198  000001668
 100094  0.31729  05028  0.01180  0.00000  000196  000196  000196  000001672
 101094  0.38504  04746  0.01278  0.00000  000193  000193  000193  000001624
 102094  0.20519  05322  0.01627  0.00000  000199  000199  000199  000001644
 103094  0.20750  05230  0.02249  0.00000  000207  000207  000207  000001674
 104094  0.23222  05149  0.01620  0.00000  000200  000200  000200  000001626
 105094  0.21295  05254  0.02144  0.00000  000220  000220  000220  000001818
 106094  0.14080  05168  0.01271  0.00000  000212  000212  000212  000001810
 107094  0.16895  05079  0.02011  0.00000  000210  000210  000210  000001786
 108094  0.19067  05155  0.01634  0.00000  000208  000208  000208  000001760
 109094  0.17537  05217  0.01313  0.00000  000207  000207  000207  000001754
 110094  0.23250  04524  0.02389  0.00000  000206  000206  000206  000001734
 111094  0.23355  04596  0.01627  0.00000  000212  000212  000212  000001812
 112094  0.17495  05160  0.01537  0.00000  000207  000207  000207  000001710
 113094  0.37658  04423  0.04770  0.00000  000228  000228  000228  000001820
 114094  0.22824  04384  0.01627  0.00000  000215  000215  000215  000001760
 115094  0.21455  04890  0.01236  0.00000  000213  000213  000213  000001734
 116094  0.21371  05100  0.01292  0.00000  000212  000212  000212  000001714
 117094  0.16511  05056  0.01194  0.00000  000212  000212  000212  000001712
 118094  0.19081  05194  0.01124  0.00000  000211  000211  000211  000001720
 119094  0.21909  04804  0.01411  0.00000  000208  000208  000208  000001702
 120094  0.16720  04884  0.01271  0.00000  000206  000206  000206  000001692
 121094  0.16266  04690  0.01516  0.00000  000204  000204  000204  000001664
 122094  0.25380  04929  0.02570  0.00000  000223  000223  000223  000001780
 123094  0.21923  04194  0.01760  0.00000  000216  000216  000216  000001764
 124094  0.14827  04599  0.01236  0.00000  000214  000214  000214  000001766
 125094  0.15896  05139  0.01243  0.00000  000213  000213  000213  000001762
 126094  0.16713  04399  0.01662  0.00000  000213  000213  000213  000001762
 127094  0.16469  05087  0.01669  0.00000  000213  000213  000213  000001762
 128094  0.23062  05137  0.01194  0.00000  000213  000213  000213  000001762
 129094  0.26421  04955  0.01467  0.00000  000213  000213  000213  000001762
 130094  0.14387  04993  0.01208  0.00000  000212  000212  000212  000001756
